displayName                                                                                           detailedDescription                                                                                                                                                                                                                                                                                                                                                                                                               caption                                                                                              description                                                                                          documentLink                                                                                                                                                                                 id                                    label                                                                                                 learnMoreLink                                                                                                                                                                                          recommendationImpact  retirementDate  retirementFeatureName  supportedResourceType
Upgrade the cluster to the latest HDInsight image                                                     A cluster doesn't have the latest image upgrades. The cluster was created 1 year ago. The platform recommends using the latest HDInsight images for the best open source updates, Azure updates, and security fixes. The recommended maximum duration for cluster upgrades is six months or less.                                                                                                                                 Update cluster to the latest version                                                                 Update cluster to the latest version                                                                 https://aka.ms/hdireleasenotes                                                                                                                                                               8f163c95-0029-4139-952a-42bd0d773b93  Upgrade the cluster to the latest HDInsight image                                                     https://learn.microsoft.com/azure/hdinsight/hdinsight-overview-before-you-start#keep-your-clusters-up-to-date                                                                                          High                  <nil>           <nil>                  microsoft.hdinsight/clusters
Upgrade to the latest agent version of Azure Arc-enabled Kubernetes                                   For the best Azure Arc enabled Kubernetes experience, improved stability and new functionality, upgrade to the latest agent version.                                                                                                                                                                                                                                                                                              Latest agent version of Azure Arc-enabled Kubernetes                                                 Latest agent version of Azure Arc-enabled Kubernetes                                                 <nil>                                                                                                                                                                                        6d55ea5b-6e80-4313-9b80-83d384667eaa  Upgrade to the latest agent version of Azure Arc-enabled Kubernetes                                   https://aka.ms/ArcK8sAgentUpgradeDocs                                                                                                                                                                  Medium                <nil>           <nil>                  microsoft.kubernetes/connectedclusters
Upgrade your deprecated Virtual Machine image to a newer image                                        Virtual Machines (VMs) in your subscription are running on images scheduled for deprecation. Once the image is deprecated, new VMs can't be created from the deprecated image. To prevent disruption to your workloads, upgrade to a newer image. (VMRunningDeprecatedImage)                                                                                                                                                      Upgrade your VM to alternative image version                                                         Upgrade your VM to alternative image version                                                         https://aka.ms/DeprecatedImagesFAQ                                                                                                                                                           11f04d70-5bb3-4065-b717-1f11b2e050a8  Upgrade your deprecated Virtual Machine image to a newer image                                        https://aka.ms/DeprecatedImagesFAQ                                                                                                                                                                     High                  <nil>           <nil>                  microsoft.compute/virtualmachines
Upgrade to a newer offer of Virtual Machine image                                                     Virtual Machines (VMs) in your subscription are running on images scheduled for deprecation. Once the image is deprecated, new VMs can't be created from the deprecated image.  To prevent disruption to your workloads, upgrade to a newer image. (VMRunningDeprecatedOfferLevelImage)                                                                                                                                           Upgrade your VM to alternative image offer                                                           Upgrade your VM to alternative image offer                                                           https://aka.ms/DeprecatedImagesFAQ                                                                                                                                                           937d85a4-11b2-4e13-a6b5-9e15e3d74d7b  Upgrade to a newer offer of Virtual Machine image                                                     https://aka.ms/DeprecatedImagesFAQ                                                                                                                                                                     High                  <nil>           <nil>                  microsoft.compute/virtualmachines
Upgrade to a newer SKU of Virtual Machine image                                                       Virtual Machines (VMs) in your subscription are running on images scheduled for deprecation. Once the image is deprecated, new VMs can't be created from the deprecated image.  To prevent disruption to your workloads, upgrade to a newer image.                                                                                                                                                                                Upgrade your VM to alternative image plan                                                            Upgrade your VM to alternative image plan                                                            https://aka.ms/DeprecatedImagesFAQ                                                                                                                                                           681acf17-11c3-4bdd-8f71-da563c79094c  Upgrade to a newer SKU of Virtual Machine image                                                       https://aka.ms/DeprecatedImagesFAQ                                                                                                                                                                     High                  <nil>           <nil>                  microsoft.compute/virtualmachines
Upgrade to Transport Layer Security (TLS) 1.2                                                         Upgrade to Transport Layer Security (TLS) 1.2 from TLS 1.0 or TLS 1.1 for the application. TLS 1.0 and TLS 1.1 were deprecated in March 2021.                                                                                                                                                                                                                                                                                     Upgrade to Transport Layer Security (TLS) 1.2                                                        Upgrade to Transport Layer Security (TLS) 1.2                                                        https://aka.ms/mysql/tls                                                                                                                                                                     f259e897-9924-45db-a1ea-788f768548da  Upgrade to Transport Layer Security (TLS) 1.2                                                         https://learn.microsoft.com/azure/mysql/flexible-server/concepts-networking#tls-and-ssl                                                                                                                High                  <nil>           <nil>                  microsoft.dbformysql/flexibleservers
Upgrade to the newest version of the listQueryKeys request                                            Upgrade to the newest version of the Search/searchServices/mysearchservice/listQueryKeys request. The platform identified resources under the subscription using an outdated version of the Search/searchServices/mysearchservice/listQueryKeys request.                                                                                                                                                                          Use the newest version of the listQueryKeys request                                                  Use the newest version of the listQueryKeys request                                                  https://aka.ms/AAtrgoe                                                                                                                                                                       e24f566a-0ea9-4a6b-94c5-be0a73f251c8  Upgrade to the newest version of the listQueryKeys request                                            https://learn.microsoft.com/rest/api/searchmanagement/query-keys/list-by-search-service                                                                                                                Medium                <nil>           <nil>                  microsoft.search/searchservices
Update Azure Cosmos DB Java SDK v2 to version 2.6.14 or migrate to Azure Cosmos DB Java SDK v4        Migrate to Azure Cosmos DB Java SDK v4. As a hotflix, update Azure Cosmos DB Java SDK v2 to version 2.6.14. A critical bug in Azure Cosmos DB Async Java SDK v2 version 2.6.13 and earlier causes errors when a Global logical sequence number (LSN) is greater than the Max Integer value.                                                                                                                                       Upgrade to 2.6.14 version of the Async Java SDK v2                                                   Upgrade to 2.6.14 version of the Async Java SDK v2                                                   https://docs.microsoft.com/azure/cosmos-db/sql/sql-api-sdk-async-java                                                                                                                        bc9e5110-a220-4ab9-8bc9-53f92d3eef70  Update Azure Cosmos DB Java SDK v2 to version 2.6.14 or migrate to Azure Cosmos DB Java SDK v4        https://docs.microsoft.com/azure/cosmos-db/sql/sql-api-sdk-async-java                                                                                                                                  High                  <nil>           <nil>                  microsoft.documentdb/databaseaccounts
Upgrade outdated Azure Cosmos DB SDK to the latest version                                            An Azure Cosmos DB account using an old version of the SDK lacks the latest fixes and improvements. Your Azure Cosmos DB account is using an outdated version of the SDK. We recommend upgrading to the latest version for the latest fixes, performance improvements, and new feature capabilities.                                                                                                                              Upgrade your {language} SDK                                                                          Upgrade your {language} SDK                                                                          {recommendedActionLearnMore}                                                                                                                                                                 60a55165-9ccd-4536-81f6-e8dc6246d3d2  Upgrade outdated Azure Cosmos DB SDK to the latest version                                            https://docs.microsoft.com/azure/cosmos-db/                                                                                                                                                            High                  <nil>           <nil>                  microsoft.documentdb/databaseaccounts
Azure Fluid Relay client library should be upgraded                                                   If the Azure Fluid Relay service is invoked with an old client library, it might cause application problems. To ensure your application remains operational, upgrade your Azure Fluid Relay client library to the latest version. Upgrading provides the most up-to-date functionality, and enhancements in performance and stability.                                                                                            Upgrade your Azure Fluid Relay client library                                                        Upgrade your Azure Fluid Relay client library                                                        https://learn.microsoft.com/en-us/azure/azure-fluid-relay/concepts/version-compatibility                                                                                                     a5e8a0f8-2c84-407a-b3d8-f371d684363b  Upgrade your Azure Fluid Relay client library                                                         https://learn.microsoft.com/en-us/azure/azure-fluid-relay/concepts/version-compatibility                                                                                                               Medium                <nil>           <nil>                  microsoft.fluidrelay/fluidrelayservers
Critical issue - Upgrade to the current recommended version of the Java SDK v4                        There's a critical bug in version 4.15 and lower of the Azure Cosmos DB Java SDK v4 causing errors when a Global logical sequence number (LSN) greater than the Max Integer value is reached. This happens transparently to you by the service after a large volume of transactions occur in the lifetime of an Azure Cosmos DB container. Avoid this problem by upgrading to the current recommended version of the Java SDK v4  Critical - Upgrade to the current recommended version of the Java SDK v4                             Critical - Upgrade to the current recommended version of the Java SDK v4                             https://docs.microsoft.com/azure/cosmos-db/sql/sql-api-sdk-java-v4                                                                                                                           38942ae5-3154-4e0b-98d9-23aa061c334b  Upgrade to the current recommended version of the Java SDK v4 to avoid a critical issue               https://docs.microsoft.com/azure/cosmos-db/sql/sql-api-sdk-java-v4                                                                                                                                     High                  <nil>           <nil>                  microsoft.documentdb/databaseaccounts
Upgrade your HDInsight Cluster                                                                        A cluster not using the latest image does not have the latest upgrades. Your cluster is not using the latest image. We recommend you use the latest versions of HDInsight images for the best of open source updates, Azure updates, and security fixes. HDInsight releases happen every 30 to 60 days.                                                                                                                           Azure HDInsight release notes                                                                        Azure HDInsight release notes                                                                        https://learn.microsoft.com/en-us/azure/hdinsight/hdinsight-release-notes                                                                                                                    97355d8e-59ae-43ff-9214-d4acf728467a  Upgrade your HDInsight Cluster                                                                        https://learn.microsoft.com/en-us/azure/hdinsight/hdinsight-release-notes                                                                                                                              High                  <nil>           <nil>                  microsoft.hdinsight/clusters
VM agent is 9.9.9.9. Upgrade the cluster.                                                             Our records indicate that one or more of your clusters are using images dated February 2022 or older (image versions 2202xxxxxx or older). There is a potential reliability issue on HDInsight clusters that use images dated February 2022 or older. Consider rebuilding your clusters with newest image.                                                                                                                        Upgrade your cluster to newest image                                                                 Upgrade your cluster to newest image                                                                 https://aka.ms/hdiupgrade                                                                                                                                                                    e4635832-0ab1-48b1-a386-c791197189e6  VM agent is 9.9.9.9. Upgrade the cluster.                                                             https://aka.ms/hdiupgrade                                                                                                                                                                              High                  <nil>           <nil>                  microsoft.hdinsight/clusters
Upgrade your VMSS to alternative image version                                                        VMSS in your subscription are running on images that have been scheduled for deprecation. Once the image is deprecated, your VMSS workloads would no longer scale out. Upgrade to newer version of the image to prevent disruption to your workload.                                                                                                                                                                              Upgrade your VMSS to alternative image version                                                       Upgrade your VMSS to alternative image version                                                       https://aka.ms/DeprecatedImagesFAQ                                                                                                                                                           3b739bd1-c193-4bb6-a953-1362ee3b03b2  Upgrade your VMSS to alternative image version                                                        https://aka.ms/DeprecatedImagesFAQ                                                                                                                                                                     High                  <nil>           <nil>                  microsoft.compute/virtualmachinescalesets
Instrumentation key based global ingestion is being retired                                           Technical support for instrumentation key based global ingestion in the Application Insights feature of Azure Monitor is retiring.                                                                                                                                                                                                                                                                                                Migrate from Application Insights instrumentation keys to connection strings                         Migrate from Application Insights instrumentation keys to connection strings                         https://aka.ms/MigrateToConnectionString                                                                                                                                                     04c68318-4e7c-4a88-a5e1-937ec12c1779  Instrumentation key based global ingestion is being retired                                           https://azure.microsoft.com/updates/technical-support-for-instrumentation-key-based-global-ingestion-in-application-insights-will-end-on-31-march-2025/                                                Medium                <nil>           <nil>                  microsoft.subscriptions/subscriptions
Virtual machines in NCv3-series is being retired.                                                     To avoid any disruption to your service, we recommend that you change the VM sizing for your workloads from the current NCv3-series VMs to the newer VM series in the same NC product line.                                                                                                                                                                                                                                       Evaluate the other virtual machines option                                                           Evaluate the other virtual machines option                                                           https://aka.ms/nc24rsv3migrationguide                                                                                                                                                        1c5fb9ab-77aa-4298-9caf-2a38f9feecdb  Virtual machines in NCv3-series is being retired.                                                     https://azure.microsoft.com/updates?id=standardnc6sv3-standardnc12sv3-and-standardnc24sv3-azure-virtual-machines-will-be-retired-on-september-30-2025                                                  Medium                <nil>           <nil>                  microsoft.compute/virtualmachines
Event Grid requires using TLS 1.2 or later                                                            Support for TLS 1.0 and TLS 1.1 ends on the retirement date.                                                                                                                                                                                                                                                                                                                                                                      Use TLS 1.2 or later                                                                                 Use TLS 1.2 or later                                                                                 https://go.microsoft.com/fwlink/?linkid=2282034                                                                                                                                              2cbab16d-94e4-47ea-b91e-5e8ad06e007e  Event Grid requires using TLS 1.2 or later                                                            https://azure.microsoft.com/updates?id=TLS-changes-for-Azure-Event-Grid                                                                                                                                High                  <nil>           <nil>                  microsoft.eventgrid/domains
PostgreSQL 11 on Azure Database for PostgreSQL flexible server instances is retiring                  Upgrade Azure Database for PostgreSQL flexible server instances to PostgreSQL version 13 or later.                                                                                                                                                                                                                                                                                                                                Update the PostgreSQL 11 database servers                                                            Update the PostgreSQL 11 database servers                                                            https://learn.microsoft.com/azure/postgresql/flexible-server/concepts-version-policy?WT.mc_id=Portal-AppInsightsExtension#postgresql-11-support                                              49b73d1f-caf4-47ca-899e-5214af89827c  PostgreSQL 11 on Azure Database for PostgreSQL flexible server instances is retiring                  https://learn.microsoft.com/azure/postgresql/flexible-server/concepts-version-policy?WT.mc_id=Portal-AppInsightsExtension#postgresql-11-support                                                        Medium                <nil>           <nil>                  microsoft.dbforpostgresql/flexibleservers
Event Grid requires using TLS 1.2 or later                                                            Support for TLS 1.0 and TLS 1.1 ends on the retirement date.                                                                                                                                                                                                                                                                                                                                                                      Use TLS 1.2 or later                                                                                 Use TLS 1.2 or later                                                                                 https://go.microsoft.com/fwlink/?linkid=2282242                                                                                                                                              64f39d77-dca5-479a-b2d8-916d24fe9a61  Event Grid requires using TLS 1.2 or later                                                            https://azure.microsoft.com/updates?id=TLS-changes-for-Azure-Event-Grid                                                                                                                                High                  <nil>           <nil>                  microsoft.eventgrid/namespaces
Event Grid requires using TLS 1.2 or later                                                            Support for TLS 1.0 and TLS 1.1 ends on the retirement date.                                                                                                                                                                                                                                                                                                                                                                      Use TLS 1.2 or later                                                                                 Use TLS 1.2 or later                                                                                 https://go.microsoft.com/fwlink/?linkid=2282242                                                                                                                                              b91050c5-907e-4ab7-8216-70bb36dc4360  Event Grid requires using TLS 1.2 or later                                                            https://azure.microsoft.com/updates?id=TLS-changes-for-Azure-Event-Grid                                                                                                                                High                  <nil>           <nil>                  microsoft.eventgrid/partnernamespaces
Application Gateway V1 is being retired.                                                              The platform encourages you to make the switch to Application Gateway V2 to avoid potential disruptions.                                                                                                                                                                                                                                                                                                                          Transition to Application Gateway V2                                                                 Transition to Application Gateway V2                                                                 https://learn.microsoft.com/azure/application-gateway/migrate-v1-v2                                                                                                                          a62f1141-8da0-4e23-a953-eaaa7b8bc475  Application Gateway V1 is being retired.                                                              https://azure.microsoft.com/updates?id=application-gateway-v1-will-be-retired-on-28-april-2026-transition-to-application-gateway-v2                                                                    Medium                <nil>           <nil>                  microsoft.network/applicationgateways
Event Grid requires using TLS 1.2 or later                                                            Support for TLS 1.0 and TLS 1.1 ends on the retirement date.                                                                                                                                                                                                                                                                                                                                                                      Use TLS 1.2 or later                                                                                 Use TLS 1.2 or later                                                                                 https://go.microsoft.com/fwlink/?linkid=2282034                                                                                                                                              ef89da0a-b5d9-4f20-adfb-defbb7f6c1a4  Event Grid requires using TLS 1.2 or later                                                            https://azure.microsoft.com/updates?id=TLS-changes-for-Azure-Event-Grid                                                                                                                                High                  <nil>           <nil>                  microsoft.eventgrid/topics
Standard_M192ids_v2 is being retired.                                                                 Workloads running Standard_M192ids_v2 are deleted and associated application data is lost.                                                                                                                                                                                                                                                                                                                                        Migrate to the selected replacement product                                                          Migrate to the selected replacement product                                                          https://learn.microsoft.com/azure/virtual-machines/msv2-mdsv2-isolated-retirement                                                                                                            06e322e4-61bd-4399-8074-09eef9272950  Standard_M192ids_v2 is being retired.                                                                 https://azure.microsoft.com/updates?id=community-support-for-standardm192idsv2-is-ending-on-31-march-2027                                                                                              Medium                <nil>           <nil>                  microsoft.compute/virtualmachines
